,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
208739_x_at,0.0033537092775122175,-0.010088713403206447,0.0025699162448048914,-0.005838509759004053,-0.01968485665558728,0.013160287088879273,0.009696905488186858,-0.015034651111144805,0.006824242208058255,-0.007376494583391418
209163_at,-0.002559908250597972,-0.01294849070563884,0.0018473009803664743,0.016874116297605598,-0.00947482242478131,-0.0020769705761549792,-0.014809819806055743,-0.009706641686528537,0.004464047291490305,-0.04477080536069392
204386_s_at,-0.01280038822739655,-0.0013424590162416702,-0.012598508350100407,0.017451222995117813,0.0014474357035217094,-0.015367484566945243,-0.004601263666477291,0.004285188367580156,-0.012111967445622806,-0.009772340915742899
207508_at,0.0008352793262901802,-0.009564714111358967,-0.022387212257419555,-0.0009711604148495142,-0.0007138869729628571,-0.0016014404699171976,0.0037013667903293443,0.0032967628933735713,0.013994083961095515,-0.007736372088697049
211755_s_at,-0.0035397064147046167,0.0032902724978599238,-0.016177733203141077,-0.0028576408328462523,-0.009112149136881985,-0.005120416926486403,-0.0019523925786479055,-0.004360655023583599,0.03291345747392213,0.009502461458275867
208405_s_at,-0.007317499841681265,0.005139401238742081,0.011806336628251791,0.011624347177755156,0.0002130023385682267,0.00116325471719484,-0.01786307229989562,0.023679811199296397,0.026149962205096633,0.006082195308948812
200750_s_at,0.006049315349918745,-0.01825431606581897,-0.010196479566505058,-0.0009576558150684373,-0.010825318858667459,0.0104117992187246,0.017491133337854983,-0.028367926126633112,0.026529651969385025,-0.002291199502528082
201290_at,-0.00708802086350989,0.009509418419997397,-0.016138419844054827,0.0029758670687990477,0.002798311834537162,-0.012444129695282727,-0.0068068770699730415,0.0004596529435384876,0.00229747253202273,0.008587394645824893
200862_at,-0.004343696239665288,-0.0022427318642046943,0.013468168023961394,0.021774293703228028,-0.01566697340659804,-0.00023833035560242685,-0.01873028893543781,-0.0027682683521973858,0.011121722277385624,-0.015494764966062646
211941_s_at,-0.004813061086011059,-0.007664569259457544,0.018092763951300495,0.004937935039382776,-0.03326346530042942,0.01809214034109742,-0.006536737942327949,-0.003214019928544716,-0.014552105559010074,0.0034617396988152888
214087_s_at,-0.0025110388958867777,0.012899375772274716,0.000321196407039762,0.02192613797112501,0.004999359129926303,0.03123661247248245,-0.004918834750248009,-0.006292916780991467,-0.02177900956147124,0.005632524256092526
210844_x_at,-0.011338548505145022,-0.00838803869910742,0.006995343346370585,0.009554397975218629,0.0030012475657799453,-0.0023766815481700457,-0.01437025539497549,-0.010756332535784844,0.0014155155837124284,-0.014621854313387146
200629_at,0.01533008996108927,-0.009464062622155165,-0.016269469490234206,0.014073971573279416,0.00455125525687198,0.013461932248631531,0.03141469458142997,0.007270931253605743,0.004643639502587268,0.009405361345804449
210142_x_at,-0.009673995105992258,-0.0015668333154135788,1.2538407365155066e-05,0.005244949136964046,-0.01377994935125807,-0.00957270660052626,-0.006618220716730603,0.012970894502685489,-0.009803903149808002,-0.01893567023784382
203476_at,-0.011960180279459208,0.003069624730436737,0.01967485434803692,0.017724186281358127,-0.009911355439347385,-0.0014439397122316153,-0.0076268723086257645,0.00048713898567012356,-0.0075332832146803134,0.014893873520019581
207157_s_at,-0.0008720345418411823,-0.006324011487320064,-0.020966161068037246,-0.003744520579976603,-0.006492891791281657,-0.02196510060115535,-0.009844197193515024,0.016774998044029054,-0.0074951049282870495,-0.0025103834220450145
201417_at,0.0049756296612732415,-0.014728515487080412,0.009232437598215867,-0.0043287022826578245,0.0018875494642014488,0.02775173235528251,-0.008511092973015378,0.002185275048022373,0.003154501428434386,0.022551232580613933
221952_x_at,-0.0010550715145780866,-0.006179041904751933,0.007807208072608474,0.0007902833606873008,-0.026820771929105404,0.006375518168543596,0.009316015163175031,-0.023603188999130165,0.015165978624508516,-0.006716433397222201
208982_at,0.0034678167280718527,0.01932722116664049,-0.009582889045668388,0.018181587431755793,0.024203927605299193,-0.0026077390933358737,0.009493908697477361,-0.003509417359388766,-0.00902956378676558,-0.007623799074148407
214433_s_at,-0.005251043833904093,0.002419291417491934,0.017547546138854016,0.024208908263750377,-0.005679344758718474,0.012336422793751326,-0.006977790274225341,0.019371629072616425,0.0003821769290283472,0.0007180532365092052
203606_at,-0.003644686161599296,-0.006731150040450603,-0.015615559567546563,0.023375283595165428,0.008256400259377461,0.0031663047511781444,4.138179249317534e-05,-0.011160659365138813,-0.0031684374428041155,-0.005091825913206371
218035_s_at,-0.013090269384346707,0.004217735026779326,0.009698565958825248,0.01408738765778757,-0.014964819229603136,0.0030843983867003375,-0.031014332437123645,-0.005322337507194973,0.00565110549484827,0.0006995702036843783
201097_s_at,-0.006570823041354178,-0.003403838622937765,0.004452175093854252,0.003591929534462628,0.006062233668712784,-0.011307338200132543,-0.004184988521805457,0.01777709080729012,-0.005128682491528344,0.005808283793111714
203400_s_at,0.002293394484223649,1.7524176772590327e-05,-0.005590832410629626,0.019480744256538667,0.014208040263380154,0.026645705368173032,0.01483599029973529,-0.01362933636335133,-0.010232716698796725,-0.0017337820514370494
202704_at,-0.009110410292671905,-0.0011992898243638648,0.0011450149456313497,0.021863631561251828,-0.0028230094461212064,-0.008387660468273248,-0.0027849882985528547,-0.02229438605893691,0.007843519140152211,-0.007325183788980055
